kr_yield_source_published_at_kst,normalized_unit,kr_yield_observation_date,stat_code,item_name,kr_treasury_3y_percent,item_code,kr_yield_safe_from_krw_date,kr_yield_availability_rule,source,exclusion_reason,us_yield_gap_policy,unit,us_yield_observation_date,us_yield_available_at_kst,h15_release_date,series_id,us_treasury_3y_percent,us_yield_release_regime,frequency,us_yield_safe_from_krw_date,us_yield_available_at_et
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2017-09-04,2017-09-06T05:15:00+09:00,2017-09-05,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-09-07,2017-09-05T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2017-10-09,2017-10-11T05:15:00+09:00,2017-10-10,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-10-12,2017-10-10T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2017-11-23,2017-11-25T06:15:00+09:00,2017-11-24,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-11-26,2017-11-24T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2017-12-25,2017-12-27T06:15:00+09:00,2017-12-26,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-12-28,2017-12-26T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-01-01,2018-01-03T06:15:00+09:00,2018-01-02,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-01-04,2018-01-02T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-01-15,2018-01-17T06:15:00+09:00,2018-01-16,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-01-18,2018-01-16T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-02-19,2018-02-21T06:15:00+09:00,2018-02-20,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-02-22,2018-02-20T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-03-30,2018-04-03T05:15:00+09:00,2018-04-02,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-04-04,2018-04-02T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-05-28,2018-05-30T05:15:00+09:00,2018-05-29,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-05-31,2018-05-29T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-07-04,2018-07-06T05:15:00+09:00,2018-07-05,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-07-07,2018-07-05T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-09-03,2018-09-05T05:15:00+09:00,2018-09-04,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-09-06,2018-09-04T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-10-08,2018-10-10T05:15:00+09:00,2018-10-09,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-10-11,2018-10-09T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-11-12,2018-11-14T06:15:00+09:00,2018-11-13,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-11-15,2018-11-13T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-11-22,2018-11-24T06:15:00+09:00,2018-11-23,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-11-25,2018-11-23T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-12-05,2018-12-07T06:15:00+09:00,2018-12-06,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-12-08,2018-12-06T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2018-12-25,2018-12-27T06:15:00+09:00,2018-12-26,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2018-12-28,2018-12-26T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2019-01-01,2019-01-03T06:15:00+09:00,2019-01-02,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2019-01-04,2019-01-02T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2019-01-21,2019-01-23T06:15:00+09:00,2019-01-22,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2019-01-24,2019-01-22T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2019-02-18,2019-02-20T06:15:00+09:00,2019-02-19,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2019-02-21,2019-02-19T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2019-04-19,2019-04-23T05:15:00+09:00,2019-04-22,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2019-04-24,2019-04-22T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2019-05-27,2019-05-29T05:15:00+09:00,2019-05-28,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2019-05-30,2019-05-28T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2019-07-04,2019-07-06T05:15:00+09:00,2019-07-05,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2019-07-07,2019-07-05T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,deferred to next confirmed release after missing 2019-09 calendar,Percent,2019-09-02,2019-10-02T05:15:00+09:00,2019-10-01,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2019-10-03,2019-10-01T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2019-10-14,2019-10-16T05:15:00+09:00,2019-10-15,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2019-10-17,2019-10-15T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2019-11-11,2019-11-13T06:15:00+09:00,2019-11-12,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2019-11-14,2019-11-12T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2019-11-28,2019-11-30T06:15:00+09:00,2019-11-29,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2019-12-01,2019-11-29T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2019-12-25,2019-12-27T06:15:00+09:00,2019-12-26,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2019-12-28,2019-12-26T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2020-01-01,2020-01-03T06:15:00+09:00,2020-01-02,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2020-01-04,2020-01-02T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2020-01-20,2020-01-22T06:15:00+09:00,2020-01-21,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2020-01-23,2020-01-21T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2020-02-17,2020-02-19T06:15:00+09:00,2020-02-18,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2020-02-20,2020-02-18T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2020-04-10,2020-04-14T05:15:00+09:00,2020-04-13,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2020-04-15,2020-04-13T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2020-05-25,2020-05-27T05:15:00+09:00,2020-05-26,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2020-05-28,2020-05-26T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2020-07-03,2020-07-07T05:15:00+09:00,2020-07-06,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2020-07-08,2020-07-06T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2020-09-07,2020-09-09T05:15:00+09:00,2020-09-08,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2020-09-10,2020-09-08T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2020-10-12,2020-10-14T05:15:00+09:00,2020-10-13,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2020-10-15,2020-10-13T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2020-11-11,2020-11-13T06:15:00+09:00,2020-11-12,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2020-11-14,2020-11-12T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2020-11-26,2020-11-28T06:15:00+09:00,2020-11-27,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2020-11-29,2020-11-27T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2020-12-25,2020-12-29T06:15:00+09:00,2020-12-28,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2020-12-30,2020-12-28T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2021-01-01,2021-01-05T06:15:00+09:00,2021-01-04,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2021-01-06,2021-01-04T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2021-01-18,2021-01-20T06:15:00+09:00,2021-01-19,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2021-01-21,2021-01-19T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2021-02-15,2021-02-17T06:15:00+09:00,2021-02-16,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2021-02-18,2021-02-16T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2021-05-31,2021-06-02T05:15:00+09:00,2021-06-01,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2021-06-03,2021-06-01T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2021-07-05,2021-07-07T05:15:00+09:00,2021-07-06,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2021-07-08,2021-07-06T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2021-09-06,2021-09-08T05:15:00+09:00,2021-09-07,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2021-09-09,2021-09-07T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2021-10-11,2021-10-13T05:15:00+09:00,2021-10-12,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2021-10-14,2021-10-12T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2021-11-11,2021-11-13T06:15:00+09:00,2021-11-12,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2021-11-14,2021-11-12T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2021-11-25,2021-11-27T06:15:00+09:00,2021-11-26,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2021-11-28,2021-11-26T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2021-12-24,2021-12-28T06:15:00+09:00,2021-12-27,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2021-12-29,2021-12-27T16:15:00-05:00
