requested_origin,forecast_origin_date,target_start,target_end,forecast_rows,split,assignment_reason
2003-11-01,2003-10-31,2003-11-03,2003-11-28,20,development_history,all_target_dates_contained
2003-12-01,2003-12-01,2003-12-02,2003-12-30,20,development_history,all_target_dates_contained
2004-01-01,2003-12-31,2004-01-02,2004-02-03,20,development_history,all_target_dates_contained
2004-02-01,2004-01-30,2004-02-02,2004-02-27,20,development_history,all_target_dates_contained
2004-03-01,2004-02-27,2004-03-02,2004-03-29,20,development_history,all_target_dates_contained
2004-04-01,2004-04-01,2004-04-02,2004-05-03,20,development_history,all_target_dates_contained
2004-05-01,2004-04-30,2004-05-03,2004-06-01,20,development_history,all_target_dates_contained
2004-06-01,2004-06-01,2004-06-02,2004-06-29,20,development_history,all_target_dates_contained
2004-07-01,2004-07-01,2004-07-02,2004-07-29,20,development_history,all_target_dates_contained
2004-08-01,2004-07-30,2004-08-02,2004-08-27,20,development_history,all_target_dates_contained
2004-09-01,2004-09-01,2004-09-02,2004-10-04,20,development_history,all_target_dates_contained
2004-10-01,2004-10-01,2004-10-04,2004-10-29,20,development_history,all_target_dates_contained
2004-11-01,2004-11-01,2004-11-02,2004-11-29,20,development_history,all_target_dates_contained
2004-12-01,2004-12-01,2004-12-02,2004-12-29,20,development_history,all_target_dates_contained
2005-01-01,2004-12-31,2005-01-03,2005-01-28,20,development_history,all_target_dates_contained
2005-02-01,2005-02-01,2005-02-02,2005-03-07,20,development_history,all_target_dates_contained
2005-03-01,2005-02-28,2005-03-02,2005-03-29,20,development_history,all_target_dates_contained
2005-04-01,2005-04-01,2005-04-04,2005-05-02,20,development_history,all_target_dates_contained
2005-05-01,2005-04-29,2005-05-02,2005-05-30,20,development_history,all_target_dates_contained
2005-06-01,2005-06-01,2005-06-02,2005-06-30,20,development_history,all_target_dates_contained
2005-07-01,2005-07-01,2005-07-04,2005-07-29,20,development_history,all_target_dates_contained
2005-08-01,2005-08-01,2005-08-02,2005-08-30,20,development_history,all_target_dates_contained
2005-09-01,2005-09-01,2005-09-02,2005-09-30,20,development_history,all_target_dates_contained
2005-10-01,2005-09-30,2005-10-04,2005-10-31,20,development_history,all_target_dates_contained
2005-11-01,2005-11-01,2005-11-02,2005-11-29,20,development_history,all_target_dates_contained
2005-12-01,2005-12-01,2005-12-02,2005-12-29,20,development_history,all_target_dates_contained
2006-01-01,2005-12-30,2006-01-02,2006-01-27,20,development_history,all_target_dates_contained
2006-02-01,2006-02-01,2006-02-02,2006-03-02,20,development_history,all_target_dates_contained
2006-03-01,2006-02-28,2006-03-02,2006-03-29,20,development_history,all_target_dates_contained
2006-04-01,2006-03-31,2006-04-03,2006-04-28,20,development_history,all_target_dates_contained
2006-05-01,2006-04-28,2006-05-02,2006-05-30,20,development_history,all_target_dates_contained
2006-06-01,2006-06-01,2006-06-02,2006-06-30,20,development_history,all_target_dates_contained
2006-07-01,2006-06-30,2006-07-03,2006-07-31,20,development_history,all_target_dates_contained
2006-08-01,2006-08-01,2006-08-02,2006-08-30,20,development_history,all_target_dates_contained
2006-09-01,2006-09-01,2006-09-04,2006-09-29,20,development_history,all_target_dates_contained
2006-10-01,2006-09-29,2006-10-02,2006-11-01,20,development_history,all_target_dates_contained
2006-11-01,2006-11-01,2006-11-02,2006-11-29,20,development_history,all_target_dates_contained
2006-12-01,2006-12-01,2006-12-04,2007-01-02,20,development_history,all_target_dates_contained
2007-01-01,2006-12-29,2007-01-02,2007-01-29,20,development_history,all_target_dates_contained
2007-02-01,2007-02-01,2007-02-02,2007-03-05,20,development_history,all_target_dates_contained
2007-03-01,2007-02-28,2007-03-02,2007-03-29,20,development_history,all_target_dates_contained
2007-04-01,2007-03-30,2007-04-02,2007-04-27,20,development_history,all_target_dates_contained
2007-05-01,2007-04-30,2007-05-02,2007-05-30,20,development_history,all_target_dates_contained
2007-06-01,2007-06-01,2007-06-04,2007-07-02,20,development_history,all_target_dates_contained
2007-07-01,2007-06-29,2007-07-02,2007-07-30,20,development_history,all_target_dates_contained
2007-08-01,2007-08-01,2007-08-02,2007-08-30,20,development_history,all_target_dates_contained
2007-09-01,2007-08-31,2007-09-03,2007-10-04,20,development_history,all_target_dates_contained
2007-10-01,2007-10-01,2007-10-02,2007-10-30,20,development_history,all_target_dates_contained
2007-11-01,2007-11-01,2007-11-02,2007-11-29,20,development_history,all_target_dates_contained
2007-12-01,2007-11-30,2007-12-03,2008-01-02,20,development_history,all_target_dates_contained
2008-01-01,2007-12-31,2008-01-02,2008-01-29,20,development_history,all_target_dates_contained
2008-02-01,2008-02-01,2008-02-04,2008-03-05,20,development_history,all_target_dates_contained
2008-03-01,2008-02-29,2008-03-03,2008-03-28,20,development_history,all_target_dates_contained
2008-04-01,2008-04-01,2008-04-02,2008-04-30,20,development_history,all_target_dates_contained
2008-05-01,2008-04-30,2008-05-02,2008-06-02,20,development_history,all_target_dates_contained
2008-06-01,2008-05-30,2008-06-02,2008-06-30,20,development_history,all_target_dates_contained
2008-07-01,2008-07-01,2008-07-02,2008-07-29,20,development_history,all_target_dates_contained
2008-08-01,2008-08-01,2008-08-04,2008-09-01,20,development_history,all_target_dates_contained
2008-09-01,2008-09-01,2008-09-02,2008-09-30,20,development_history,all_target_dates_contained
2008-10-01,2008-10-01,2008-10-02,2008-10-30,20,development_history,all_target_dates_contained
2008-11-01,2008-10-31,2008-11-03,2008-11-28,20,development_history,all_target_dates_contained
2008-12-01,2008-12-01,2008-12-02,2008-12-30,20,development_history,all_target_dates_contained
2009-01-01,2008-12-31,2009-01-02,2009-02-02,20,development_history,all_target_dates_contained
2009-02-01,2009-01-30,2009-02-02,2009-02-27,20,development_history,all_target_dates_contained
2009-03-01,2009-02-27,2009-03-02,2009-03-27,20,development_history,all_target_dates_contained
2009-04-01,2009-04-01,2009-04-02,2009-04-29,20,development_history,all_target_dates_contained
2009-05-01,2009-04-30,2009-05-04,2009-06-01,20,development_history,all_target_dates_contained
2009-06-01,2009-06-01,2009-06-02,2009-06-29,20,development_history,all_target_dates_contained
2009-07-01,2009-07-01,2009-07-02,2009-07-29,20,development_history,all_target_dates_contained
2009-08-01,2009-07-31,2009-08-03,2009-08-28,20,development_history,all_target_dates_contained
2009-09-01,2009-09-01,2009-09-02,2009-09-29,20,development_history,all_target_dates_contained
2009-10-01,2009-10-01,2009-10-05,2009-10-30,20,development_history,all_target_dates_contained
2009-11-01,2009-10-30,2009-11-02,2009-11-27,20,development_history,all_target_dates_contained
2009-12-01,2009-12-01,2009-12-02,2009-12-30,20,development_history,all_target_dates_contained
2010-01-01,2009-12-31,2010-01-04,2010-01-29,20,development_history,all_target_dates_contained
2010-02-01,2010-02-01,2010-02-02,2010-03-03,20,development_history,all_target_dates_contained
2010-03-01,2010-02-26,2010-03-02,2010-03-29,20,development_history,all_target_dates_contained
2010-04-01,2010-04-01,2010-04-02,2010-04-29,20,development_history,all_target_dates_contained
2010-05-01,2010-04-30,2010-05-03,2010-06-01,20,development_history,all_target_dates_contained
2010-06-01,2010-06-01,2010-06-03,2010-06-30,20,development_history,all_target_dates_contained
2010-07-01,2010-07-01,2010-07-02,2010-07-29,20,development_history,all_target_dates_contained
2010-08-01,2010-07-30,2010-08-02,2010-08-27,20,development_history,all_target_dates_contained
2010-09-01,2010-09-01,2010-09-02,2010-10-04,20,development_history,all_target_dates_contained
2010-10-01,2010-10-01,2010-10-04,2010-10-29,20,development_history,all_target_dates_contained
2010-11-01,2010-11-01,2010-11-02,2010-11-29,20,development_history,all_target_dates_contained
2010-12-01,2010-12-01,2010-12-02,2010-12-29,20,development_history,all_target_dates_contained
2011-01-01,2010-12-31,2011-01-03,2011-01-28,20,development_history,all_target_dates_contained
2011-02-01,2011-02-01,2011-02-07,2011-03-07,20,development_history,all_target_dates_contained
2011-03-01,2011-02-28,2011-03-02,2011-03-29,20,development_history,all_target_dates_contained
2011-04-01,2011-04-01,2011-04-04,2011-04-29,20,development_history,all_target_dates_contained
2011-05-01,2011-04-29,2011-05-02,2011-05-31,20,development_history,all_target_dates_contained
2011-06-01,2011-06-01,2011-06-02,2011-06-30,20,development_history,all_target_dates_contained
2011-07-01,2011-07-01,2011-07-04,2011-07-29,20,development_history,all_target_dates_contained
2011-08-01,2011-08-01,2011-08-02,2011-08-30,20,development_history,all_target_dates_contained
2011-09-01,2011-09-01,2011-09-02,2011-10-04,20,development_history,all_target_dates_contained
2011-10-01,2011-09-30,2011-10-04,2011-10-31,20,development_history,all_target_dates_contained
2011-11-01,2011-11-01,2011-11-02,2011-11-29,20,development_history,all_target_dates_contained
2011-12-01,2011-12-01,2011-12-02,2011-12-29,20,development_history,all_target_dates_contained
2012-01-01,2011-12-30,2012-01-02,2012-01-31,20,development_history,all_target_dates_contained
2012-02-01,2012-02-01,2012-02-02,2012-02-29,20,development_history,all_target_dates_contained
2012-03-01,2012-02-29,2012-03-02,2012-03-29,20,development_history,all_target_dates_contained
2012-04-01,2012-03-30,2012-04-02,2012-04-30,20,development_history,all_target_dates_contained
2012-05-01,2012-04-30,2012-05-02,2012-05-30,20,development_history,all_target_dates_contained
2012-06-01,2012-06-01,2012-06-04,2012-07-02,20,development_history,all_target_dates_contained
2012-07-01,2012-06-29,2012-07-02,2012-07-27,20,development_history,all_target_dates_contained
2012-08-01,2012-08-01,2012-08-02,2012-08-30,20,development_history,all_target_dates_contained
2012-09-01,2012-08-31,2012-09-03,2012-09-28,20,development_history,all_target_dates_contained
2012-10-01,2012-09-28,2012-10-02,2012-10-30,20,development_history,all_target_dates_contained
2012-11-01,2012-11-01,2012-11-02,2012-11-29,20,development_history,all_target_dates_contained
2012-12-01,2012-11-30,2012-12-03,2013-01-02,20,development_history,all_target_dates_contained
2013-01-01,2012-12-31,2013-01-02,2013-01-29,20,development_history,all_target_dates_contained
2013-02-01,2013-02-01,2013-02-04,2013-03-05,20,development_history,all_target_dates_contained
2013-03-01,2013-02-28,2013-03-04,2013-03-29,20,development_history,all_target_dates_contained
2013-04-01,2013-04-01,2013-04-02,2013-04-29,20,development_history,all_target_dates_contained
2013-05-01,2013-04-30,2013-05-02,2013-05-30,20,development_history,all_target_dates_contained
2013-06-01,2013-05-31,2013-06-03,2013-07-01,20,development_history,all_target_dates_contained
2013-07-01,2013-07-01,2013-07-02,2013-07-29,20,development_history,all_target_dates_contained
2013-08-01,2013-08-01,2013-08-02,2013-08-30,20,development_history,all_target_dates_contained
2013-09-01,2013-08-30,2013-09-02,2013-10-02,20,development_history,all_target_dates_contained
2013-10-01,2013-10-01,2013-10-02,2013-10-31,20,development_history,all_target_dates_contained
2013-11-01,2013-11-01,2013-11-04,2013-11-29,20,development_history,all_target_dates_contained
2013-12-01,2013-11-29,2013-12-02,2013-12-30,20,development_history,all_target_dates_contained
2014-01-01,2013-12-31,2014-01-02,2014-01-29,20,development_history,all_target_dates_contained
2014-02-01,2014-01-29,2014-02-03,2014-02-28,20,development_history,all_target_dates_contained
2014-03-01,2014-02-28,2014-03-03,2014-03-28,20,development_history,all_target_dates_contained
2014-04-01,2014-04-01,2014-04-02,2014-04-29,20,development_history,all_target_dates_contained
2014-05-01,2014-04-30,2014-05-02,2014-06-02,20,development_history,all_target_dates_contained
2014-06-01,2014-05-30,2014-06-02,2014-07-01,20,development_history,all_target_dates_contained
2014-07-01,2014-07-01,2014-07-02,2014-07-29,20,development_history,all_target_dates_contained
2014-08-01,2014-08-01,2014-08-04,2014-09-01,20,development_history,all_target_dates_contained
2014-09-01,2014-09-01,2014-09-02,2014-10-02,20,development_history,all_target_dates_contained
2014-10-01,2014-10-01,2014-10-02,2014-10-31,20,development_history,all_target_dates_contained
2014-11-01,2014-10-31,2014-11-03,2014-11-28,20,development_history,all_target_dates_contained
2014-12-01,2014-12-01,2014-12-02,2014-12-30,20,development_history,all_target_dates_contained
2015-01-01,2014-12-31,2015-01-02,2015-01-29,20,development_history,all_target_dates_contained
2015-02-01,2015-01-30,2015-02-02,2015-03-04,20,development_history,all_target_dates_contained
2015-03-01,2015-02-27,2015-03-02,2015-03-27,20,development_history,all_target_dates_contained
2015-04-01,2015-04-01,2015-04-02,2015-04-29,20,development_history,all_target_dates_contained
2015-05-01,2015-04-30,2015-05-04,2015-06-02,20,development_history,all_target_dates_contained
2015-06-01,2015-06-01,2015-06-02,2015-06-29,20,development_history,all_target_dates_contained
2015-07-01,2015-07-01,2015-07-02,2015-07-29,20,development_history,all_target_dates_contained
2015-08-01,2015-07-31,2015-08-03,2015-08-31,20,development_history,all_target_dates_contained
2015-09-01,2015-09-01,2015-09-02,2015-10-01,20,development_history,all_target_dates_contained
2015-10-01,2015-10-01,2015-10-02,2015-10-30,20,development_history,all_target_dates_contained
2015-11-01,2015-10-30,2015-11-02,2015-11-27,20,development_history,all_target_dates_contained
2015-12-01,2015-12-01,2015-12-02,2015-12-30,20,development_history,all_target_dates_contained
2016-01-01,2015-12-31,2016-01-04,2016-01-29,20,development_history,all_target_dates_contained
2016-02-01,2016-02-01,2016-02-02,2016-03-04,20,development_history,all_target_dates_contained
2016-03-01,2016-02-29,2016-03-02,2016-03-29,20,development_history,all_target_dates_contained
2016-04-01,2016-04-01,2016-04-04,2016-05-02,20,development_history,all_target_dates_contained
2016-05-01,2016-04-29,2016-05-02,2016-05-31,20,development_history,all_target_dates_contained
2016-06-01,2016-06-01,2016-06-02,2016-06-30,20,development_history,all_target_dates_contained
2016-07-01,2016-07-01,2016-07-04,2016-07-29,20,development_history,all_target_dates_contained
2016-08-01,2016-08-01,2016-08-02,2016-08-30,20,development_history,all_target_dates_contained
2016-09-01,2016-09-01,2016-09-02,2016-10-05,20,development_history,all_target_dates_contained
2016-10-01,2016-09-30,2016-10-04,2016-10-31,20,development_history,all_target_dates_contained
2016-11-01,2016-11-01,2016-11-02,2016-11-29,20,development_history,all_target_dates_contained
2016-12-01,2016-12-01,2016-12-02,2016-12-29,20,development_history,all_target_dates_contained
2017-01-01,2016-12-30,2017-01-02,2017-01-31,20,development_history,all_target_dates_contained
2017-02-01,2017-02-01,2017-02-02,2017-03-02,20,development_history,all_target_dates_contained
2017-03-01,2017-02-28,2017-03-02,2017-03-29,20,development_history,all_target_dates_contained
2017-04-01,2017-03-31,2017-04-03,2017-04-28,20,development_history,all_target_dates_contained
2017-05-01,2017-04-28,2017-05-02,2017-06-01,20,development_history,all_target_dates_contained
2017-06-01,2017-06-01,2017-06-02,2017-06-30,20,development_history,all_target_dates_contained
2017-07-01,2017-06-30,2017-07-03,2017-07-28,20,development_history,all_target_dates_contained
2017-08-01,2017-08-01,2017-08-02,2017-08-30,20,development_history,all_target_dates_contained
2017-09-01,2017-09-01,2017-09-04,2017-09-29,20,development_history,all_target_dates_contained
2017-10-01,2017-09-29,2017-10-10,2017-11-06,20,development_history,all_target_dates_contained
2017-11-01,2017-11-01,2017-11-02,2017-11-29,20,development_history,all_target_dates_contained
2017-12-01,2017-12-01,2017-12-04,2018-01-02,20,excluded,target_dates_cross_split_boundary
2018-01-01,2017-12-29,2018-01-02,2018-01-29,20,validation,all_target_dates_contained
2018-02-01,2018-02-01,2018-02-02,2018-03-06,20,validation,all_target_dates_contained
2018-03-01,2018-02-28,2018-03-02,2018-03-29,20,validation,all_target_dates_contained
2018-04-01,2018-03-30,2018-04-02,2018-04-27,20,validation,all_target_dates_contained
2018-05-01,2018-04-30,2018-05-02,2018-05-31,20,validation,all_target_dates_contained
2018-06-01,2018-06-01,2018-06-04,2018-07-03,20,validation,all_target_dates_contained
2018-07-01,2018-06-29,2018-07-02,2018-07-27,20,validation,all_target_dates_contained
2018-08-01,2018-08-01,2018-08-02,2018-08-30,20,validation,all_target_dates_contained
2018-09-01,2018-08-31,2018-09-03,2018-10-04,20,validation,all_target_dates_contained
2018-10-01,2018-10-01,2018-10-02,2018-10-31,20,validation,all_target_dates_contained
2018-11-01,2018-11-01,2018-11-02,2018-11-29,20,validation,all_target_dates_contained
2018-12-01,2018-11-30,2018-12-03,2018-12-31,20,validation,all_target_dates_contained
2019-01-01,2018-12-31,2019-01-02,2019-01-29,20,validation,all_target_dates_contained
2019-02-01,2019-02-01,2019-02-07,2019-03-07,20,validation,all_target_dates_contained
2019-03-01,2019-02-28,2019-03-04,2019-03-29,20,validation,all_target_dates_contained
2019-04-01,2019-04-01,2019-04-02,2019-04-29,20,validation,all_target_dates_contained
2019-05-01,2019-04-30,2019-05-02,2019-05-30,20,validation,all_target_dates_contained
2019-06-01,2019-05-31,2019-06-03,2019-07-01,20,validation,all_target_dates_contained
2019-07-01,2019-07-01,2019-07-02,2019-07-29,20,validation,all_target_dates_contained
2019-08-01,2019-08-01,2019-08-02,2019-08-30,20,validation,all_target_dates_contained
2019-09-01,2019-08-30,2019-09-02,2019-10-01,20,validation,all_target_dates_contained
2019-10-01,2019-10-01,2019-10-02,2019-10-31,20,validation,all_target_dates_contained
2019-11-01,2019-11-01,2019-11-04,2019-11-29,20,validation,all_target_dates_contained
2019-12-01,2019-11-29,2019-12-02,2019-12-30,20,validation,all_target_dates_contained
2020-01-01,2019-12-31,2020-01-02,2020-01-31,20,validation,all_target_dates_contained
2020-02-01,2020-01-31,2020-02-03,2020-02-28,20,validation,all_target_dates_contained
2020-03-01,2020-02-28,2020-03-02,2020-03-27,20,validation,all_target_dates_contained
2020-04-01,2020-04-01,2020-04-02,2020-05-04,20,validation,all_target_dates_contained
2020-05-01,2020-04-29,2020-05-04,2020-06-01,20,validation,all_target_dates_contained
2020-06-01,2020-06-01,2020-06-02,2020-06-29,20,validation,all_target_dates_contained
2020-07-01,2020-07-01,2020-07-02,2020-07-29,20,validation,all_target_dates_contained
2020-08-01,2020-07-31,2020-08-03,2020-08-31,20,validation,all_target_dates_contained
2020-09-01,2020-09-01,2020-09-02,2020-09-29,20,validation,all_target_dates_contained
2020-10-01,2020-09-29,2020-10-05,2020-11-02,20,validation,all_target_dates_contained
2020-11-01,2020-10-30,2020-11-02,2020-11-27,20,validation,all_target_dates_contained
2020-12-01,2020-12-01,2020-12-02,2020-12-30,20,validation,all_target_dates_contained
2021-01-01,2020-12-31,2021-01-04,2021-01-29,20,validation,all_target_dates_contained
2021-02-01,2021-02-01,2021-02-02,2021-03-04,20,validation,all_target_dates_contained
2021-03-01,2021-02-26,2021-03-02,2021-03-29,20,validation,all_target_dates_contained
2021-04-01,2021-04-01,2021-04-02,2021-04-29,20,validation,all_target_dates_contained
2021-05-01,2021-04-30,2021-05-03,2021-06-01,20,validation,all_target_dates_contained
2021-06-01,2021-06-01,2021-06-02,2021-06-29,20,validation,all_target_dates_contained
2021-07-01,2021-07-01,2021-07-02,2021-07-29,20,validation,all_target_dates_contained
2021-08-01,2021-07-30,2021-08-02,2021-08-30,20,validation,all_target_dates_contained
2021-09-01,2021-09-01,2021-09-02,2021-10-05,20,validation,all_target_dates_contained
2021-10-01,2021-10-01,2021-10-05,2021-11-02,20,validation,all_target_dates_contained
2021-11-01,2021-11-01,2021-11-02,2021-11-29,20,validation,all_target_dates_contained
2021-12-01,2021-12-01,2021-12-02,2021-12-29,20,validation,all_target_dates_contained
2022-01-01,2021-12-31,2022-01-03,2022-01-28,20,final_test,all_target_dates_contained
2022-02-01,2022-01-28,2022-02-03,2022-03-03,20,final_test,all_target_dates_contained
2022-03-01,2022-02-28,2022-03-02,2022-03-30,20,final_test,all_target_dates_contained
2022-04-01,2022-04-01,2022-04-04,2022-04-29,20,final_test,all_target_dates_contained
2022-05-01,2022-04-29,2022-05-02,2022-05-30,20,final_test,all_target_dates_contained
2022-06-01,2022-05-31,2022-06-02,2022-06-30,20,final_test,all_target_dates_contained
2022-07-01,2022-07-01,2022-07-04,2022-07-29,20,final_test,all_target_dates_contained
2022-08-01,2022-08-01,2022-08-02,2022-08-30,20,final_test,all_target_dates_contained
2022-09-01,2022-09-01,2022-09-02,2022-10-04,20,final_test,all_target_dates_contained
2022-10-01,2022-09-30,2022-10-04,2022-11-01,20,final_test,all_target_dates_contained
2022-11-01,2022-11-01,2022-11-02,2022-11-29,20,final_test,all_target_dates_contained
2022-12-01,2022-12-01,2022-12-02,2022-12-29,20,final_test,all_target_dates_contained
2023-01-01,2022-12-30,2023-01-02,2023-01-31,20,final_test,all_target_dates_contained
2023-02-01,2023-02-01,2023-02-02,2023-03-02,20,final_test,all_target_dates_contained
2023-03-01,2023-02-28,2023-03-02,2023-03-29,20,final_test,all_target_dates_contained
2023-04-01,2023-03-31,2023-04-03,2023-04-28,20,final_test,all_target_dates_contained
2023-05-01,2023-04-28,2023-05-02,2023-05-31,20,final_test,all_target_dates_contained
